po_id,material_id,material_name,supplier_id,supplier_name,plant_id,plant_name,period_week,allocated_units,utilization_pct,lead_time_variance_days,geo_financial_risk,delay_probability_pct,risk_tier,status_label,recommended_action,split_sourcing_recommended
PO-SUP_002-MAT_005-W01,MAT_005,Hardox 450 Wear-Resistant Steel,SUP_002,Vanguard Industrial Dynamics,PLANT_02,Munich Engineering Works,W01,785,14.2,1.4,1.4,5.8,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_005-W01,MAT_005,Hardox 450 Wear-Resistant Steel,SUP_002,Vanguard Industrial Dynamics,PLANT_03,Monterrey Global Production Hub,W01,1324,24.0,1.4,1.4,4.1,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_005-W01,MAT_005,Hardox 450 Wear-Resistant Steel,SUP_002,Vanguard Industrial Dynamics,PLANT_04,Tokyo Precision Facility,W01,717,13.0,1.4,1.4,8.2,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_005-W01,MAT_005,Hardox 450 Wear-Resistant Steel,SUP_002,Vanguard Industrial Dynamics,PLANT_05,Chennai Industrial Complex,W01,581,10.5,1.4,1.4,8.9,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_006-W01,MAT_006,Aerospace Grade 7075-T6 Billet,SUP_001,Apex Precision Metals GmbH,PLANT_01,Detroit Advanced Assembly Hub,W01,916,9.8,0.8,3.2,14.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_006-W01,MAT_006,Aerospace Grade 7075-T6 Billet,SUP_001,Apex Precision Metals GmbH,PLANT_02,Munich Engineering Works,W01,515,5.5,0.8,3.2,7.0,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_006-W01,MAT_006,Aerospace Grade 7075-T6 Billet,SUP_001,Apex Precision Metals GmbH,PLANT_03,Monterrey Global Production Hub,W01,850,9.1,0.8,3.2,18.0,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_006-W01,MAT_006,Aerospace Grade 7075-T6 Billet,SUP_001,Apex Precision Metals GmbH,PLANT_04,Tokyo Precision Facility,W01,885,9.5,0.8,3.2,23.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_006-W01,MAT_006,Aerospace Grade 7075-T6 Billet,SUP_001,Apex Precision Metals GmbH,PLANT_05,Chennai Industrial Complex,W01,730,7.8,0.8,3.2,19.2,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_006-W01,MAT_006,Aerospace Grade 7075-T6 Billet,SUP_003,Nippon Advanced Metallurgy,PLANT_01,Detroit Advanced Assembly Hub,W01,691,6.1,0.6,3.1,17.8,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_006-W01,MAT_006,Aerospace Grade 7075-T6 Billet,SUP_003,Nippon Advanced Metallurgy,PLANT_02,Munich Engineering Works,W01,388,3.4,0.6,3.1,19.3,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_006-W01,MAT_006,Aerospace Grade 7075-T6 Billet,SUP_003,Nippon Advanced Metallurgy,PLANT_03,Monterrey Global Production Hub,W01,641,5.7,0.6,3.1,18.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_006-W01,MAT_006,Aerospace Grade 7075-T6 Billet,SUP_003,Nippon Advanced Metallurgy,PLANT_04,Tokyo Precision Facility,W01,1328,11.8,0.6,3.1,7.9,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_006-W01,MAT_006,Aerospace Grade 7075-T6 Billet,SUP_003,Nippon Advanced Metallurgy,PLANT_05,Chennai Industrial Complex,W01,1094,9.7,0.6,3.1,16.0,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_007-W01,MAT_007,Structural Aluminum 6061-T6 Extrusion,SUP_001,Apex Precision Metals GmbH,PLANT_01,Detroit Advanced Assembly Hub,W01,1231,17.3,0.8,3.2,19.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_007-W01,MAT_007,Structural Aluminum 6061-T6 Extrusion,SUP_001,Apex Precision Metals GmbH,PLANT_02,Munich Engineering Works,W01,317,4.5,0.8,3.2,7.0,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_007-W01,MAT_007,Structural Aluminum 6061-T6 Extrusion,SUP_001,Apex Precision Metals GmbH,PLANT_03,Monterrey Global Production Hub,W01,954,13.4,0.8,3.2,21.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_007-W01,MAT_007,Structural Aluminum 6061-T6 Extrusion,SUP_001,Apex Precision Metals GmbH,PLANT_04,Tokyo Precision Facility,W01,730,10.3,0.8,3.2,25.5,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_001-MAT_007-W01,MAT_007,Structural Aluminum 6061-T6 Extrusion,SUP_001,Apex Precision Metals GmbH,PLANT_05,Chennai Industrial Complex,W01,691,9.7,0.8,3.2,21.2,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_007-W01,MAT_007,Structural Aluminum 6061-T6 Extrusion,SUP_003,Nippon Advanced Metallurgy,PLANT_01,Detroit Advanced Assembly Hub,W01,607,5.6,0.6,3.1,19.2,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_007-W01,MAT_007,Structural Aluminum 6061-T6 Extrusion,SUP_003,Nippon Advanced Metallurgy,PLANT_02,Munich Engineering Works,W01,156,1.4,0.6,3.1,18.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_007-W01,MAT_007,Structural Aluminum 6061-T6 Extrusion,SUP_003,Nippon Advanced Metallurgy,PLANT_03,Monterrey Global Production Hub,W01,470,4.3,0.6,3.1,19.3,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_007-W01,MAT_007,Structural Aluminum 6061-T6 Extrusion,SUP_003,Nippon Advanced Metallurgy,PLANT_04,Tokyo Precision Facility,W01,1357,12.5,0.6,3.1,10.2,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_007-W01,MAT_007,Structural Aluminum 6061-T6 Extrusion,SUP_003,Nippon Advanced Metallurgy,PLANT_05,Chennai Industrial Complex,W01,1284,11.8,0.6,3.1,20.8,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_008-W01,MAT_008,Marine Grade 5083-H116 Plate,SUP_001,Apex Precision Metals GmbH,PLANT_01,Detroit Advanced Assembly Hub,W01,357,2.6,0.8,3.2,18.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_008-W01,MAT_008,Marine Grade 5083-H116 Plate,SUP_001,Apex Precision Metals GmbH,PLANT_02,Munich Engineering Works,W01,721,5.3,0.8,3.2,14.6,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_008-W01,MAT_008,Marine Grade 5083-H116 Plate,SUP_001,Apex Precision Metals GmbH,PLANT_03,Monterrey Global Production Hub,W01,506,3.7,0.8,3.2,27.0,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_001-MAT_008-W01,MAT_008,Marine Grade 5083-H116 Plate,SUP_001,Apex Precision Metals GmbH,PLANT_04,Tokyo Precision Facility,W01,323,2.4,0.8,3.2,28.0,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_001-MAT_008-W01,MAT_008,Marine Grade 5083-H116 Plate,SUP_001,Apex Precision Metals GmbH,PLANT_05,Chennai Industrial Complex,W01,412,3.0,0.8,3.2,26.4,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_003-MAT_008-W01,MAT_008,Marine Grade 5083-H116 Plate,SUP_003,Nippon Advanced Metallurgy,PLANT_01,Detroit Advanced Assembly Hub,W01,219,2.4,0.6,3.1,19.6,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_008-W01,MAT_008,Marine Grade 5083-H116 Plate,SUP_003,Nippon Advanced Metallurgy,PLANT_02,Munich Engineering Works,W01,442,4.8,0.6,3.1,29.8,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_003-MAT_008-W01,MAT_008,Marine Grade 5083-H116 Plate,SUP_003,Nippon Advanced Metallurgy,PLANT_03,Monterrey Global Production Hub,W01,310,3.3,0.6,3.1,23.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_008-W01,MAT_008,Marine Grade 5083-H116 Plate,SUP_003,Nippon Advanced Metallurgy,PLANT_04,Tokyo Precision Facility,W01,573,6.2,0.6,3.1,12.1,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_008-W01,MAT_008,Marine Grade 5083-H116 Plate,SUP_003,Nippon Advanced Metallurgy,PLANT_05,Chennai Industrial Complex,W01,732,7.9,0.6,3.1,26.4,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_001-MAT_009-W01,MAT_009,Die-Cast Aluminum A380 Ingot,SUP_001,Apex Precision Metals GmbH,PLANT_01,Detroit Advanced Assembly Hub,W01,768,6.1,0.8,3.2,14.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_009-W01,MAT_009,Die-Cast Aluminum A380 Ingot,SUP_001,Apex Precision Metals GmbH,PLANT_02,Munich Engineering Works,W01,1069,8.5,0.8,3.2,8.8,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_009-W01,MAT_009,Die-Cast Aluminum A380 Ingot,SUP_001,Apex Precision Metals GmbH,PLANT_03,Monterrey Global Production Hub,W01,1383,11.0,0.8,3.2,22.3,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_009-W01,MAT_009,Die-Cast Aluminum A380 Ingot,SUP_001,Apex Precision Metals GmbH,PLANT_04,Tokyo Precision Facility,W01,262,2.1,0.8,3.2,20.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_009-W01,MAT_009,Die-Cast Aluminum A380 Ingot,SUP_001,Apex Precision Metals GmbH,PLANT_05,Chennai Industrial Complex,W01,641,5.1,0.8,3.2,19.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_009-W01,MAT_009,Die-Cast Aluminum A380 Ingot,SUP_003,Nippon Advanced Metallurgy,PLANT_01,Detroit Advanced Assembly Hub,W01,345,3.6,0.6,3.1,18.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_009-W01,MAT_009,Die-Cast Aluminum A380 Ingot,SUP_003,Nippon Advanced Metallurgy,PLANT_02,Munich Engineering Works,W01,480,5.0,0.6,3.1,23.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_009-W01,MAT_009,Die-Cast Aluminum A380 Ingot,SUP_003,Nippon Advanced Metallurgy,PLANT_03,Monterrey Global Production Hub,W01,621,6.5,0.6,3.1,23.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_009-W01,MAT_009,Die-Cast Aluminum A380 Ingot,SUP_003,Nippon Advanced Metallurgy,PLANT_04,Tokyo Precision Facility,W01,612,6.4,0.6,3.1,8.2,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_009-W01,MAT_009,Die-Cast Aluminum A380 Ingot,SUP_003,Nippon Advanced Metallurgy,PLANT_05,Chennai Industrial Complex,W01,1496,15.7,0.6,3.1,26.4,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_001-MAT_010-W01,MAT_010,Alloy 2024-T3 Precision Sheet,SUP_001,Apex Precision Metals GmbH,PLANT_01,Detroit Advanced Assembly Hub,W01,1237,23.1,0.8,3.2,19.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_010-W01,MAT_010,Alloy 2024-T3 Precision Sheet,SUP_001,Apex Precision Metals GmbH,PLANT_02,Munich Engineering Works,W01,1208,22.5,0.8,3.2,10.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_010-W01,MAT_010,Alloy 2024-T3 Precision Sheet,SUP_001,Apex Precision Metals GmbH,PLANT_03,Monterrey Global Production Hub,W01,713,13.3,0.8,3.2,19.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_010-W01,MAT_010,Alloy 2024-T3 Precision Sheet,SUP_001,Apex Precision Metals GmbH,PLANT_04,Tokyo Precision Facility,W01,260,4.8,0.8,3.2,21.0,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_010-W01,MAT_010,Alloy 2024-T3 Precision Sheet,SUP_001,Apex Precision Metals GmbH,PLANT_05,Chennai Industrial Complex,W01,920,17.2,0.8,3.2,23.3,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_010-W01,MAT_010,Alloy 2024-T3 Precision Sheet,SUP_003,Nippon Advanced Metallurgy,PLANT_01,Detroit Advanced Assembly Hub,W01,859,6.5,0.6,3.1,19.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_010-W01,MAT_010,Alloy 2024-T3 Precision Sheet,SUP_003,Nippon Advanced Metallurgy,PLANT_02,Munich Engineering Works,W01,839,6.4,0.6,3.1,22.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_010-W01,MAT_010,Alloy 2024-T3 Precision Sheet,SUP_003,Nippon Advanced Metallurgy,PLANT_03,Monterrey Global Production Hub,W01,496,3.8,0.6,3.1,18.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_010-W01,MAT_010,Alloy 2024-T3 Precision Sheet,SUP_003,Nippon Advanced Metallurgy,PLANT_04,Tokyo Precision Facility,W01,330,2.5,0.6,3.1,5.9,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_003-MAT_010-W01,MAT_010,Alloy 2024-T3 Precision Sheet,SUP_003,Nippon Advanced Metallurgy,PLANT_05,Chennai Industrial Complex,W01,1172,8.9,0.6,3.1,17.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
